wav_filename,wav_filesize,transcript,confidence_level
./all_wav/Tehran_SayeRoshan0_142.wav,341284,به دستور شاه به مدرسه فیضیه قم,0.92755735
./all_wav/Tehran_SayeRoshan0_144.wav,95492,و تعداد زیادی از مردم,0.92337477
./all_wav/Tehran_SayeRoshan0_145.wav,70692,و روحانیون,0.92755729
./all_wav/Tehran_SayeRoshan0_148.wav,283076,به شاه در یک سخنرانی می‌گوید,0.84724087
./all_wav/Tehran_SayeRoshan0_149.wav,96900,من به تو نصیحت می کنم,0.92755729
./all_wav/Tehran_SayeRoshan0_150.wav,104036,دست بردار از این کارها,0.91172123
./all_wav/Tehran_SayeRoshan0_151.wav,118564,اینقدر با ملت بازی نکن,0.92755729
./all_wav/Tehran_SayeRoshan0_152.wav,91588,اینقدر با روحانیت,0.82013565
./all_wav/Tehran_SayeRoshan0_154.wav,92484,بعد از این سخنرانی قرار,0.82348311
./all_wav/Tehran_SayeRoshan0_156.wav,300292,۲۴ ساعت بعد می‌ریزند شبانه به خانه حضرت امام خیلی سریع,0.79709357
./all_wav/Tehran_SayeRoshan0_16.wav,163620,مقبولیت جامعه ما نسبت به حکومت,0.81799078
./all_wav/Tehran_SayeRoshan0_162.wav,300036,سخنرانی های متصل می کردند که اوج این سخنرانی ها در مدرسه فیضیه در روز عاشورا و سیزدهم خرداد,0.86160737
./all_wav/Tehran_SayeRoshan0_167.wav,145700,سرانجام بعد از پافشاری های زیاد مردم,0.90551728
./all_wav/Tehran_SayeRoshan0_168.wav,65412,و علما,0.92632741
./all_wav/Tehran_SayeRoshan0_170.wav,131812,در تاریخ شانزدهم فروردین سال ۴۳,0.92755729
./all_wav/Tehran_SayeRoshan0_173.wav,201764,و پس از اطلاع از جریان پانزدهم خرداد ۱۳۴۲,0.92755729
./all_wav/Tehran_SayeRoshan0_174.wav,56644,فرمودند,0.92755729
./all_wav/Tehran_SayeRoshan0_175.wav,108388,در قضیه ۱۵ خرداد,0.88743567
./all_wav/Tehran_SayeRoshan0_176.wav,85860,من مطلع نبودم,0.92755729
./all_wav/Tehran_SayeRoshan0_179.wav,103268,اخبار خارج به من رسید,0.92194587
./all_wav/Tehran_SayeRoshan0_181.wav,94052,تا ملت عمر دارد,0.88328719
./all_wav/Tehran_SayeRoshan0_182.wav,149828,غمگین در مصیبت ۱۵ خرداد است,0.92755729
./all_wav/Tehran_SayeRoshan0_191.wav,131652,پانزدهم خرداد ماه ۱۳۴۲,0.92755729
./all_wav/Tehran_SayeRoshan0_192.wav,98372,از زبان افرادی که امروز,0.88965148
./all_wav/Tehran_SayeRoshan0_193.wav,78756,در راهپیمایی بودند,0.92755729
./all_wav/Tehran_SayeRoshan0_195.wav,115684,از امام خودشون حمایت کرد,0.90578002
./all_wav/Tehran_SayeRoshan0_198.wav,98564,متولد ۱۳۱۷,0.92755729
./all_wav/Tehran_SayeRoshan0_200.wav,216708,ورود ۱۵ خرداد که مصادف بود با روز سوم حضرت امام حسین علیه السلام,0.83357298
./all_wav/Tehran_SayeRoshan0_202.wav,232292,از همه غصه هایم در روز بنی اسد,0.80979466
./all_wav/Tehran_SayeRoshan0_206.wav,161028,در داخل یکی از پیامدهای عمده فیفا بودیم,0.86175323
./all_wav/Tehran_SayeRoshan0_207.wav,172932,مسیر بازار حرکت کرده بودیم برای آستانه امام جعفر علیه السلام,0.88403529
./all_wav/Tehran_SayeRoshan0_209.wav,56228,بازار,0.92755729
./all_wav/Tehran_SayeRoshan0_211.wav,165540,خبری مبنی بر دستگیری حضرت امام,0.92755729
./all_wav/Tehran_SayeRoshan0_212.wav,94244,مداحانی که,0.92755729
./all_wav/Tehran_SayeRoshan0_216.wav,128772,نوحه تغییر حالت,0.85304767
./all_wav/Tehran_SayeRoshan0_22.wav,132260,اقداماتی است که در رابطه با,0.80091643
./all_wav/Tehran_SayeRoshan0_223.wav,312452,الله و انا الیه راجعون,0.91903812
./all_wav/Tehran_SayeRoshan0_226.wav,71844,نکردم,0.90542591
./all_wav/Tehran_SayeRoshan0_227.wav,58084,امروز,0.92755729
./all_wav/Tehran_SayeRoshan0_233.wav,82884,از هفت به حرف,0.87316114
./all_wav/Tehran_SayeRoshan0_234.wav,60932,تبدیل شد,0.92755729
./all_wav/Tehran_SayeRoshan0_243.wav,50340,آقای,0.92755729
./all_wav/Tehran_SayeRoshan0_246.wav,67620,اعلام کرد,0.83798909
./all_wav/Tehran_SayeRoshan0_247.wav,67460,حضرت آیت الله,0.92755729
./all_wav/Tehran_SayeRoshan0_250.wav,59364,خبر,0.92755729
./all_wav/Tehran_SayeRoshan0_254.wav,65444,بعد از اون,0.82993907
./all_wav/Tehran_SayeRoshan0_263.wav,58532,در واقع,0.92755729
./all_wav/Tehran_SayeRoshan0_268.wav,73668,به هر حال مردم,0.92755729
./all_wav/Tehran_SayeRoshan0_27.wav,130404,انقلاب ۵۷,0.92755729
./all_wav/Tehran_SayeRoshan0_271.wav,176836,این حال عزاداری امام حسین بودند و این خبر برای ناگوار بود,0.83529466
./all_wav/Tehran_SayeRoshan0_273.wav,137828,که همیشه مرحوم بود که توسط پایان پیدا می‌کرد,0.80188692
./all_wav/Tehran_SayeRoshan0_277.wav,116932,از جمله یا مرگ یا خمینی,0.92755729
./all_wav/Tehran_SayeRoshan0_279.wav,68676,خمینی خمینی,0.92755729
./all_wav/Tehran_SayeRoshan0_281.wav,205476,خدانگهدار تو بمیرد بمیرد دشمن خونخوار تو و از این مقوله,0.92371315
./all_wav/Tehran_SayeRoshan0_29.wav,127940,استان تهران,0.92755729
./all_wav/Tehran_SayeRoshan0_299.wav,96964,کارگر کارخانه قند ورامین,0.92755729
./all_wav/Tehran_SayeRoshan0_306.wav,74532,روی یک بلندی,0.86009622
./all_wav/Tehran_SayeRoshan0_312.wav,109380,کانون نزدیک پل باقرآباد,0.84878039
./all_wav/Tehran_SayeRoshan0_317.wav,78948,بدان و گرفته بود,0.82610744
./all_wav/Tehran_SayeRoshan0_319.wav,138180,و تعدادی از برگشتن به سمت پیشوا,0.79495353
./all_wav/Tehran_SayeRoshan0_325.wav,63524,می خوام بگم,0.84642285
./all_wav/Tehran_SayeRoshan0_328.wav,165508,یعنی از بچه ۱۲ ساله تا پیرمرد ۸۰ ساله حرکت کند,0.8093372
./all_wav/Tehran_SayeRoshan0_342.wav,93220,ما یقین کشته شدند,0.82938582
./all_wav/Tehran_SayeRoshan0_345.wav,168452,اما به هر حال به آن ایده و عقیده که داشتیم حرکت کردیم و رفتیم,0.79927933
./all_wav/Tehran_SayeRoshan0_346.wav,105668,الحمدالله امروز به هدف اصلی خود,0.88337535
./all_wav/Tehran_SayeRoshan0_348.wav,133348,حرکت کردیم فقط به خاطر امام,0.89566922
./all_wav/Tehran_SayeRoshan0_35.wav,92996,در سال ۵۷ به پیروزی رسید,0.81615669
./all_wav/Tehran_SayeRoshan0_353.wav,99748,در آن زمان یا فرزند داشتیم که,0.79733497
./all_wav/Tehran_SayeRoshan0_359.wav,93572,این ۱۵ خرداد را,0.85277635
./all_wav/Tehran_SayeRoshan0_361.wav,106052,تاریخ ثبت شده,0.83168483
./all_wav/Tehran_SayeRoshan0_363.wav,68516,به قوت خودش باقی,0.92755729
./all_wav/Tehran_SayeRoshan0_38.wav,76740,استان تهران,0.92755729
./all_wav/Tehran_SayeRoshan0_383.wav,98180,از این به بعد حق نداری,0.82894969
./all_wav/Tehran_SayeRoshan0_385.wav,56996,اشکان,0.92669648
./all_wav/Tehran_SayeRoshan0_388.wav,98244,من چند بار دیدم که عروسی,0.84556884
./all_wav/Tehran_SayeRoshan0_393.wav,98468,اشکان سرش را به زیر انداخت,0.85865545
./all_wav/Tehran_SayeRoshan0_398.wav,161060,کتاب های داستان هایی است که بر اساس آیات قرآنی نوشته,0.80059683
./all_wav/Tehran_SayeRoshan0_403.wav,100036,نوشته ابراهیم حسن بیگی,0.92755729
./all_wav/Tehran_SayeRoshan0_407.wav,76036,جهت تهیه,0.92755729
./all_wav/Tehran_SayeRoshan0_409.wav,80484,عدد ۴۲۵۰,0.89728892
./all_wav/Tehran_SayeRoshan0_413.wav,262308,عزیزم ممنونم که همچنان با ما همراه هستند اینجا پخش رادیو تهران ۳۴۹۴ شماره پیامک ماست همچنین,0.86369586
./all_wav/Tehran_SayeRoshan0_414.wav,260804,تلفن گویای ۲۷۸۶ ۲۰۹۴ در این نوبت کاری در خدمت شما هستیم تا ساعت ۲۲,0.83297169
./all_wav/Tehran_SayeRoshan0_415.wav,247300,می توانید در فضای مجازی ما را دنبال کنید به نشانی www.tehran.ir,0.8236472
./all_wav/Tehran_SayeRoshan0_416.wav,148868,همچنین تماس بگیرید با شماره های ۲۲۶۵,0.88245291
./all_wav/Tehran_SayeRoshan0_418.wav,136260,ممنونم که در پانزدهمین روز از خرداد ماه,0.84725833
./all_wav/Tehran_SayeRoshan0_419.wav,228324,با ما همراه هستید یک بار دیگه خدمت شما تسلیت عرض می کنم این روز امیدوارم که بتونیم,0.89126939
./all_wav/Tehran_SayeRoshan0_427.wav,85540,شهرستان,0.86764777
./all_wav/Tehran_SayeRoshan0_429.wav,79268,شهیدان,0.92755729
./all_wav/Tehran_SayeRoshan0_433.wav,53604,تهران,0.92755729
./all_wav/Tehran_SayeRoshan0_44.wav,109444,عرض کنم که,0.92755729
./all_wav/Tehran_SayeRoshan0_45.wav,107556,در روز ۱۵ خرداد ۴۲,0.92755729
./all_wav/Tehran_SayeRoshan0_46.wav,107876,رژیم پهلوی,0.92755729
./all_wav/Tehran_SayeRoshan0_6.wav,154116,به واسطه شاهدان انقلاب مردم گرفته بود,0.8398034
./all_wav/Tehran_SayeRoshan0_63.wav,148356,حمایت هایی که در قالب بودجه های نظامی از ایران میشه,0.83523655
./all_wav/Tehran_SayeRoshan0_66.wav,135300,مرضیه,0.92755729
./all_wav/Tehran_SayeRoshan0_71.wav,178148,در واقع مردمی از جامعه رخت بربسته,0.8078751000000001
./all_wav/Tehran_SayeRoshan0_77.wav,64676,درباره,0.92315423
./all_wav/Tehran_SayeRoshan0_78.wav,319300,در واقع انقلاب حضرت امام حرکت حضرت امام بخشد صحبت می‌کند اشاره به قاعده نفی سبیل کردیم و بعد حضرت امام بر محور این واحدها,0.86136198
./all_wav/Tehran_SayeRoshan0_8.wav,107236,تبریز به وضعیت پویا و,0.89094144
./all_wav/Tehran_SayeRoshan0_82.wav,119204,سپاسگزارم جناب آقای تهران دوستان عزیز,0.81976819
./all_wav/Tehran_SayeRoshan0_83.wav,176068,انشالله قسمت بشه باز هم در برنامه در این هفته ما از شما مطالب گفته,0.8093555
./all_wav/Tehran_SayeRoshan0_86.wav,204100,به و کلیه عزیزانی که در تهیه و پخش این برنامه به ما یاری رساندن از جمله,0.85463154
./all_wav/Tehran_SayeRoshan0_88.wav,230404,خدا قوت میگم به همکارانم در برنامه در این هفته با ما همراه باشید و سایه روشن را بشنوید,0.87744343
./all_wav/Tehran_SayeRoshan0_9.wav,169156,در واقع مردم با رهبری جامع همراه,0.83253038
./all_wav/Tehran_SayeRoshan0_96.wav,134788,یاد حماسه بزرگ پانزدهم خرداد ماه,0.92755729
./all_wav/Tehran_SayeRoshan0_97.wav,61892,تماسی که,0.83083653
./all_wav/Tehran_SayeRoshan0_98.wav,92804,مسیر کشورمون رو عوض,0.92755729
./all_wav/Tehran_SayeRoshan10_1.wav,200292,به نام خداوند لطیف و مهربان سلام صبح دوشنبه شما بخیر همراه,0.92755723
./all_wav/Tehran_SayeRoshan10_102.wav,132900,آتش نشانی,0.89479005
./all_wav/Tehran_SayeRoshan10_114.wav,93892,مداحی قدیمی تهران,0.89610791
./all_wav/Tehran_SayeRoshan10_118.wav,216004,البته در یک زبان,0.82376856
./all_wav/Tehran_SayeRoshan10_126.wav,177092,هر هفته با برنامه داریم,0.85166758
./all_wav/Tehran_SayeRoshan10_138.wav,66500,فری کثیف,0.8964082
./all_wav/Tehran_SayeRoshan10_156.wav,95716,۱۸۰ ساله ۱۹۰,0.80954337
./all_wav/Tehran_SayeRoshan10_17.wav,121764,سلام,0.92755729
./all_wav/Tehran_SayeRoshan10_178.wav,230980,زمان انقلاب,0.80721581
./all_wav/Tehran_SayeRoshan10_190.wav,72836,بازار,0.92050564
./all_wav/Tehran_SayeRoshan10_200.wav,72868,داخل,0.91429687
./all_wav/Tehran_SayeRoshan10_202.wav,164132,این همه خدمت داشته باشه این همه عزاداری به خودش دیده باشه,0.89271808
./all_wav/Tehran_SayeRoshan10_210.wav,379012,سینه زنی و عزاداری,0.92755729
./all_wav/Tehran_SayeRoshan10_224.wav,177764,عزاداران و هیئت‌های که نیستند,0.92755729
./all_wav/Tehran_SayeRoshan10_231.wav,174884,۳۳۲ کیلومتر,0.92696846
./all_wav/Tehran_SayeRoshan10_233.wav,204804,شبکه رادیویی تهران,0.92755729
./all_wav/Tehran_SayeRoshan10_30.wav,83460,مسجد,0.92755729
./all_wav/Tehran_SayeRoshan10_308.wav,164260,اسراف برکت خدا گناه,0.92755729
./all_wav/Tehran_SayeRoshan10_313.wav,213348,جمله ساده هر خانوار ایرانی حدود ۳۰ درصد,0.83998531
./all_wav/Tehran_SayeRoshan10_315.wav,278116,برابر با مصرف ۵ میلیون نفر در سال ۵ میلیون نفر,0.80918294
./all_wav/Tehran_SayeRoshan10_331.wav,293796,السلام علیک یا اباعبدالله,0.88396251
./all_wav/Tehran_SayeRoshan10_335.wav,100484,رادیو محرم,0.92755729
./all_wav/Tehran_SayeRoshan10_340.wav,272452,بسم الله الرحمن الرحیم با صلوات بر محمد و آل محمد و با عرض سلام خدمت شما شنوندگان محترم خبر داد,0.91657203
./all_wav/Tehran_SayeRoshan10_341.wav,131332,در نخستین بخش از خبر رادیو تهران بیرانوند,0.85831314
./all_wav/Tehran_SayeRoshan10_7.wav,111236,شما هم همراه ما باشید و برنامه‌های این,0.85600573
./all_wav/Tehran_SayeRoshan10_78.wav,277284,تو خود بازار چند قومی هستند که حالا میان ریچارد,0.81151706
./all_wav/Tehran_SayeRoshan10_8.wav,134756,این لحظه در آغاز این بخش از سایه روشن باشد,0.79442835
./all_wav/Tehran_SayeRoshan10_86.wav,163492,پیرتاج,0.84097153
./all_wav/Tehran_SayeRoshan11_101.wav,262564,چندتا شهید گمنام هستند که در منطقه ولنجک تهران بالای کوه درون غاری به خاک سپرده شد,0.84436554
./all_wav/Tehran_SayeRoshan11_102.wav,260132,آدمای اینجا از زنده بودن این شهیدان گمنام خیلی خاطره ها دارد,0.88314319
./all_wav/Tehran_SayeRoshan11_103.wav,215556,بعد از درس و مدرسه شهید باشد,0.89069742
./all_wav/Tehran_SayeRoshan11_105.wav,185636,و رفاقت با این شهدا را با دنیا عوض نمیکنم,0.85069102
./all_wav/Tehran_SayeRoshan11_111.wav,134372,گفتمان دفاع مقدس,0.92755729
./all_wav/Tehran_SayeRoshan11_112.wav,60420,وقتی که طرف,0.92755729
./all_wav/Tehran_SayeRoshan11_113.wav,87460,معاون فلان سازمان,0.92755729
./all_wav/Tehran_SayeRoshan11_115.wav,85060,چوب پرده دستش میگیره,0.7968632
./all_wav/Tehran_SayeRoshan11_122.wav,96388,شهید اینجا دست کرد,0.90085512
./all_wav/Tehran_SayeRoshan11_123.wav,74948,اگه میخوای بیا جلو,0.81579661
./all_wav/Tehran_SayeRoshan11_137.wav,154212,بچه جلسه داشتیم,0.92755729
./all_wav/Tehran_SayeRoshan11_139.wav,137796,دختر خانم اومد با من آخر شب,0.85824156
./all_wav/Tehran_SayeRoshan11_140.wav,85476,گفتم آره,0.92755729
./all_wav/Tehran_SayeRoshan11_146.wav,89444,من میرم از همین الان,0.9114812
./all_wav/Tehran_SayeRoshan11_153.wav,62468,خیلی راحت,0.92755729
./all_wav/Tehran_SayeRoshan11_155.wav,94628,این پیام از سمت,0.86143655
./all_wav/Tehran_SayeRoshan11_16.wav,115588,رادیو تهران,0.92755729
./all_wav/Tehran_SayeRoshan11_162.wav,152644,شهدا,0.92755729
./all_wav/Tehran_SayeRoshan11_17.wav,100548,روزی نیک در دهمین روز از,0.92755729
./all_wav/Tehran_SayeRoshan11_176.wav,163844,پیام اخلاقی,0.92755729
./all_wav/Tehran_SayeRoshan11_18.wav,50020,شهریور,0.92755729
./all_wav/Tehran_SayeRoshan11_183.wav,69540,من جواب گرفتم,0.80119663
./all_wav/Tehran_SayeRoshan11_19.wav,123652,بخش اول برنامه ها همراه شما هم از هم اکنون,0.85287219
./all_wav/Tehran_SayeRoshan11_197.wav,156004,میگم شما مهمون خود خدایی,0.91844559
./all_wav/Tehran_SayeRoshan11_20.wav,81476,تا ساعت ۱۴,0.86517161
./all_wav/Tehran_SayeRoshan11_200.wav,158244,فانوس راه امام حسین علیه السلام هنوزم روشن,0.85547245
./all_wav/Tehran_SayeRoshan11_21.wav,92420,در آغاز برنامه,0.90678835
./all_wav/Tehran_SayeRoshan11_210.wav,209604,بلکه آنها زنده اند و نزد پروردگارشان روزی داده می شوند,0.81363255
./all_wav/Tehran_SayeRoshan11_211.wav,82596,سوره آل عمران,0.92755729
./all_wav/Tehran_SayeRoshan11_212.wav,281796,آیه ۱۶۹ خدایا,0.92755729
./all_wav/Tehran_SayeRoshan11_214.wav,318980,کمکمون کن,0.92755729
./all_wav/Tehran_SayeRoshan11_248.wav,124644,هواشناسی ۲۳ بهمن,0.88228297
./all_wav/Tehran_SayeRoshan11_250.wav,308516,شما میخوای به من بده خورده ندارم,0.85208166
./all_wav/Tehran_SayeRoshan11_255.wav,178404,شرمنده,0.92755729
./all_wav/Tehran_SayeRoshan11_256.wav,193988,ولی اسراف برکت خدا گناه است آره راست میگه,0.84946114
./all_wav/Tehran_SayeRoshan11_257.wav,245732,نمونه گفتن اسراف برکت خدا گناه گناه دارد,0.81362408
./all_wav/Tehran_SayeRoshan11_261.wav,214788,جمله ساده هر خانوار ایرانی حدود ۳۰ درصد,0.85317582
./all_wav/Tehran_SayeRoshan11_33.wav,78596,دفاع از عدالت,0.92755729
./all_wav/Tehran_SayeRoshan11_34.wav,72996,دفاع از حقیقت,0.82109147
./all_wav/Tehran_SayeRoshan11_35.wav,102852,مقابله در مقابل تجاوز,0.85646605
./all_wav/Tehran_SayeRoshan11_37.wav,130820,مراکز قدرت جهانی,0.81493354
./all_wav/Tehran_SayeRoshan11_50.wav,104068,مدت به نقطه اصلی,0.92755729
./all_wav/Tehran_SayeRoshan11_51.wav,122660,این نقطه عطف همونجاست که میگن,0.92755729
./all_wav/Tehran_SayeRoshan11_52.wav,119620,دوست مسیر زندگی آدم را عوض کنیم,0.81559551
./all_wav/Tehran_SayeRoshan11_59.wav,238692,به خاطر همینه که این موضوع خیلی مهمه و,0.83594805
./all_wav/Tehran_SayeRoshan11_60.wav,79364,گفتم که بگم,0.92755729
./all_wav/Tehran_SayeRoshan11_65.wav,206308,انشا هدا هستند که از بین ما انتخاب می‌کنند که کی باهاشون دوست باشه,0.79542059
./all_wav/Tehran_SayeRoshan11_66.wav,136260,راستش منم یه زمانی همه این حرفا برام فقط حرف,0.89937317
./all_wav/Tehran_SayeRoshan11_74.wav,95620,خاطرات شهید ابراهیم هادی,0.92755729
./all_wav/Tehran_SayeRoshan11_80.wav,138276,من فقط برای معماری درست کنم,0.82384866
./all_wav/Tehran_SayeRoshan11_83.wav,274980,این کتاب را جمع کردم گذاشتم کنار فرستاد,0.83683246
./all_wav/Tehran_SayeRoshan11_86.wav,213252,من می خوام بیا می خوام بیام می خوام بیام تولد حضرت ابوالفضل مبارزه برای چهارشنبه,0.79481447
./all_wav/Tehran_SayeRoshan11_9.wav,143332,ساعت ۶ اینجا تهران است شبکه رادیویی,0.85775912
./all_wav/Tehran_SayeRoshan11_94.wav,177156,بهشت زهرا با سر راه میره راه برای من باز کرد,0.82410359
./all_wav/Tehran_SayeRoshan12_11.wav,124036,از آثار ارزشمند موزه ملی ایران,0.92755729
./all_wav/Tehran_SayeRoshan12_124.wav,104420,بازار تهران چقدر جای دیدنی,0.87933749
./all_wav/Tehran_SayeRoshan12_134.wav,52836,بازار,0.92755729
./all_wav/Tehran_SayeRoshan12_147.wav,82852,آقا سلام سلام سلام,0.92755729
./all_wav/Tehran_SayeRoshan12_162.wav,73316,داخل خود بازار,0.83082795
./all_wav/Tehran_SayeRoshan12_172.wav,56260,کار معماری,0.92185199
./all_wav/Tehran_SayeRoshan12_18.wav,91844,خیلی عزیز گرامی,0.80390185
./all_wav/Tehran_SayeRoshan12_19.wav,238596,دستشو بگیری ببری یه جاهایی رو نشونش بدی جاهای تاریخی خوش بگذره کجا میبری,0.87522858
./all_wav/Tehran_SayeRoshan12_193.wav,85188,دختر همسن شما داره,0.8463881
./all_wav/Tehran_SayeRoshan12_196.wav,101412,بهش خوش بگذره خیلی عزیزه,0.92755729
./all_wav/Tehran_SayeRoshan12_199.wav,60100,کاهش ورم,0.86815006
./all_wav/Tehran_SayeRoshan12_20.wav,198276,بستگی به طبع مهمون داره و منم عاشق کارهای تاریخی و آثار,0.86267763
./all_wav/Tehran_SayeRoshan12_207.wav,99524,ممنونم بچه ها بهتون خوش بگذره,0.87345356
./all_wav/Tehran_SayeRoshan12_213.wav,89732,موزه ملی ایران و,0.92755729
./all_wav/Tehran_SayeRoshan12_214.wav,67204,ایران باستان,0.92755729
./all_wav/Tehran_SayeRoshan12_217.wav,87492,توضیحات دقیق,0.92755729
./all_wav/Tehran_SayeRoshan12_220.wav,212772,سلام اوقات شما خوش خیلی ممنونم که باز هم اقدام کردید برای اینکه یک معرفی خیلی بد,0.86175013
./all_wav/Tehran_SayeRoshan12_222.wav,53828,البته,0.92755729
./all_wav/Tehran_SayeRoshan12_234.wav,121124,هنوز از طبقه دوم آغاز میشه و در طبقه اول,0.81054622
./all_wav/Tehran_SayeRoshan12_238.wav,58020,چند تا پله,0.90623188
./all_wav/Tehran_SayeRoshan12_239.wav,54564,ساختمان,0.89734036
./all_wav/Tehran_SayeRoshan12_242.wav,73828,اما خوشبختانه,0.92755729
./all_wav/Tehran_SayeRoshan12_244.wav,74244,و مطمئنم که با,0.80818999
./all_wav/Tehran_SayeRoshan12_25.wav,60868,موزه ملی,0.92755729
./all_wav/Tehran_SayeRoshan12_255.wav,71908,یک نقشه بزرگ,0.7970441
./all_wav/Tehran_SayeRoshan12_256.wav,91172,ساختمان موزه ایران باستان,0.92755729
./all_wav/Tehran_SayeRoshan12_258.wav,157572,خوب یک ساختمان قدیمی قدیمی ترین برای موزه ی کشور,0.81369239
./all_wav/Tehran_SayeRoshan12_259.wav,123332,و الان در حال حاضر دو طبقه,0.85517061
./all_wav/Tehran_SayeRoshan12_261.wav,162820,طبقه دوم شما با آثار پارینه سنگی,0.90206802
./all_wav/Tehran_SayeRoshan12_273.wav,117572,فروش نبشی عیدی,0.82054991
./all_wav/Tehran_SayeRoshan12_274.wav,82756,آشنایی با اون اثر,0.79371274
./all_wav/Tehran_SayeRoshan12_275.wav,60804,خیلی خیلی,0.86047953
./all_wav/Tehran_SayeRoshan12_276.wav,180996,ابزارهای سنگی که ملاحظه می کنید متعلق به حدود ۸۰۰ هزار سال پیش از,0.8317396
./all_wav/Tehran_SayeRoshan12_279.wav,61316,در این منطقه,0.92755729
./all_wav/Tehran_SayeRoshan12_286.wav,153348,گرچه میتونستیم به گفتگوی خودمون ادامه بدین و خیلی,0.80836999
./all_wav/Tehran_SayeRoshan12_290.wav,68644,اما پیشنهاد من این,0.83233327
./all_wav/Tehran_SayeRoshan12_293.wav,72868,فریبا سرگذشت,0.79127383
./all_wav/Tehran_SayeRoshan12_295.wav,108996,برید اونجا آثاری رو ببینید از,0.83098698
./all_wav/Tehran_SayeRoshan12_3.wav,83172,در همین شهر تهران,0.92755729
./all_wav/Tehran_SayeRoshan12_302.wav,57028,پرداخت,0.79372174
./all_wav/Tehran_SayeRoshan12_309.wav,95204,موزه ایران باستان,0.92755729
./all_wav/Tehran_SayeRoshan12_315.wav,170404,اول سنگ بنا شد به عشق موزه گذاشته شده با آن قرار بود بشه,0.83461815
./all_wav/Tehran_SayeRoshan12_317.wav,77316,به نظر من یکی از زیباترین,0.92457294
./all_wav/Tehran_SayeRoshan12_324.wav,229380,اجازه بدید با یکی از کارشناسان صحبت بکنیم تا در این مورد یعنی موزه آبگینه اطلاعات دقیقتر,0.81480539
./all_wav/Tehran_SayeRoshan12_327.wav,125348,برای مراجعه به این موضوع صحبت می‌کنیم,0.8165223
./all_wav/Tehran_SayeRoshan12_328.wav,267940,اسم موزه مشخص موزه آبگینه و سفالینه تمام اشیا از جنس شیشه و سفال هستند,0.92719662
./all_wav/Tehran_SayeRoshan12_329.wav,148004,چیدمان اشیا با توجه به دوره های تاریخی انجام شد,0.92755729
./all_wav/Tehran_SayeRoshan12_334.wav,235364,طبقه اول در حقیقت اشیای تاریخی و قبل از تاریخ رو در خودش جای,0.88926178
./all_wav/Tehran_SayeRoshan12_337.wav,70020,بناهای باستانی,0.92755729
./all_wav/Tehran_SayeRoshan12_343.wav,101380,در طبقه بالا هم اشیایی,0.80161017
./all_wav/Tehran_SayeRoshan12_344.wav,96388,آموزش مربوط به دوره اسلامی,0.91042644
./all_wav/Tehran_SayeRoshan12_346.wav,180036,از قرن چهارم هجری تا قرن ۱۲ و ۱۳ هجری,0.9129674999999999
./all_wav/Tehran_SayeRoshan12_348.wav,91236,ما در داخل ویترین ها چیدمان,0.79353148
./all_wav/Tehran_SayeRoshan12_350.wav,127908,خیلی دلم می خواد روی پله های چوبی اینجا راه برم,0.84865087
./all_wav/Tehran_SayeRoshan12_352.wav,68068,خیلی دلنشین,0.92755729
./all_wav/Tehran_SayeRoshan12_355.wav,127460,منبت کاری هایی که روی در و پنجره هست,0.87916577
